bin_start,bin_break,bin_index,frequency,site,year
11,12,12,0.0018517237629605702,HR14,2015
12,13,13,4.3744533731528655e-4,HR14,2015
13,14,14,NA,HR14,2015
14,15,15,NA,HR14,2015
15,16,16,NA,HR14,2015
16,17,17,NA,HR14,2015
17,18,18,NA,HR14,2015
18,19,19,NA,HR14,2015
19,20,20,NA,HR14,2015
20,21,21,NA,HR14,2015
21,22,22,NA,HR14,2015
22,23,23,NA,HR14,2015
23,24,24,NA,HR14,2015
24,25,25,NA,HR14,2015
25,26,26,NA,HR14,2015
26,27,27,NA,HR14,2015
27,28,28,NA,HR14,2015
28,29,29,NA,HR14,2015
29,30,30,NA,HR14,2015
0,1,1,0.04055994091629902,HR15,2015
1,2,2,0.09021960933374838,HR15,2015
2,3,3,0.08800137360205607,HR15,2015
3,4,4,0.056592766401093335,HR15,2015
4,5,5,0.062256070823117134,HR15,2015
5,6,6,0.07692735354059294,HR15,2015
6,7,7,0.0999911287628002,HR15,2015
7,8,8,0.12792969543673102,HR15,2015
8,9,9,0.12494685070838411,HR15,2015
9,10,10,0.10013061791092417,HR15,2015
10,11,11,0.07475898817505265,HR15,2015
11,12,12,0.04302628932208077,HR15,2015
12,13,13,0.012970055454403677,HR15,2015
13,14,14,0.001607805793863673,HR15,2015
14,15,15,8.145381885287023e-5,HR15,2015
15,16,16,NA,HR15,2015
16,17,17,NA,HR15,2015
17,18,18,NA,HR15,2015
18,19,19,NA,HR15,2015
19,20,20,NA,HR15,2015
20,21,21,NA,HR15,2015
21,22,22,NA,HR15,2015
22,23,23,NA,HR15,2015
23,24,24,NA,HR15,2015
24,25,25,NA,HR15,2015
25,26,26,NA,HR15,2015
26,27,27,NA,HR15,2015
27,28,28,NA,HR15,2015
28,29,29,NA,HR15,2015
29,30,30,NA,HR15,2015
0,1,1,0.022207390032140423,SP 1,2015
1,2,2,0.21690237723505557,SP 1,2015
2,3,3,0.1850397798009763,SP 1,2015
3,4,4,0.1491823066213047,SP 1,2015
4,5,5,0.1251285170843883,SP 1,2015
5,6,6,0.09905820783409916,SP 1,2015
6,7,7,0.0757257780217439,SP 1,2015
7,8,8,0.05038052944057867,SP 1,2015
8,9,9,0.03596562957482396,SP 1,2015
9,10,10,0.022955323675442712,SP 1,2015
10,11,11,0.012252580461518968,SP 1,2015
11,12,12,0.00485638350349115,SP 1,2015
12,13,13,3.4519671443620153e-4,SP 1,2015
13,14,14,NA,SP 1,2015
14,15,15,NA,SP 1,2015
15,16,16,NA,SP 1,2015
16,17,17,NA,SP 1,2015
17,18,18,NA,SP 1,2015
18,19,19,NA,SP 1,2015
19,20,20,NA,SP 1,2015
20,21,21,NA,SP 1,2015
21,22,22,NA,SP 1,2015
22,23,23,NA,SP 1,2015
23,24,24,NA,SP 1,2015
24,25,25,NA,SP 1,2015
25,26,26,NA,SP 1,2015
26,27,27,NA,SP 1,2015
27,28,28,NA,SP 1,2015
28,29,29,NA,SP 1,2015
29,30,30,NA,SP 1,2015
0,1,1,0.044070898528534054,SP 2,2015
1,2,2,0.35297404036038815,SP 2,2015
2,3,3,0.1927133167902514,SP 2,2015
3,4,4,0.13942448527281953,SP 2,2015
4,5,5,0.09588087191577281,SP 2,2015
5,6,6,0.06657978475181714,SP 2,2015
6,7,7,0.03963710892321917,SP 2,2015
7,8,8,0.03333947996382111,SP 2,2015
8,9,9,0.02048643676622519,SP 2,2015
9,10,10,0.009304645848712849,SP 2,2015
10,11,11,0.004699105282560379,SP 2,2015
11,12,12,8.898255958782118e-4,SP 2,2015
12,13,13,NA,SP 2,2015
13,14,14,NA,SP 2,2015
14,15,15,NA,SP 2,2015
15,16,16,NA,SP 2,2015
16,17,17,NA,SP 2,2015
17,18,18,NA,SP 2,2015
18,19,19,NA,SP 2,2015
19,20,20,NA,SP 2,2015
20,21,21,NA,SP 2,2015
21,22,22,NA,SP 2,2015
22,23,23,NA,SP 2,2015
23,24,24,NA,SP 2,2015
24,25,25,NA,SP 2,2015
25,26,26,NA,SP 2,2015
26,27,27,NA,SP 2,2015
27,28,28,NA,SP 2,2015
28,29,29,NA,SP 2,2015
29,30,30,NA,SP 2,2015
0,1,1,0.02816147084603452,SP 3,2015
1,2,2,0.0834760566086903,SP 3,2015
2,3,3,0.09601195410145837,SP 3,2015
3,4,4,0.1104863177096963,SP 3,2015
4,5,5,0.11857724645011142,SP 3,2015
5,6,6,0.11459194403881462,SP 3,2015
6,7,7,0.10638339157944846,SP 3,2015
7,8,8,0.09549748437223873,SP 3,2015
8,9,9,0.08190164325702036,SP 3,2015
9,10,10,0.06316831487637177,SP 3,2015
10,11,11,0.04279537013239674,SP 3,2015
11,12,12,0.027458470015903284,SP 3,2015
12,13,13,0.016113338450564715,SP 3,2015
13,14,14,0.00906052728110629,SP 3,2015
14,15,15,0.005188841120241236,SP 3,2015
15,16,16,0.001059244727853833,SP 3,2015
16,17,17,6.838443204909005e-5,SP 3,2015
17,18,18,NA,SP 3,2015
18,19,19,NA,SP 3,2015
19,20,20,NA,SP 3,2015
20,21,21,NA,SP 3,2015
21,22,22,NA,SP 3,2015
22,23,23,NA,SP 3,2015
23,24,24,NA,SP 3,2015
24,25,25,NA,SP 3,2015
25,26,26,NA,SP 3,2015
26,27,27,NA,SP 3,2015
27,28,28,NA,SP 3,2015
28,29,29,NA,SP 3,2015
29,30,30,NA,SP 3,2015
0,1,1,0.063933211513483107,SP 4,2015
1,2,2,0.18467687624760415,SP 4,2015
2,3,3,0.20634585685347612,SP 4,2015
3,4,4,0.14368556175349653,SP 4,2015
4,5,5,0.1263089787618364,SP 4,2015
5,6,6,0.10614605176820734,SP 4,2015
6,7,7,0.07347529788710422,SP 4,2015
7,8,8,0.04506863502267105,SP 4,2015
8,9,9,0.029706121361559625,SP 4,2015
9,10,10,0.012571218026120915,SP 4,2015
10,11,11,0.005272170644250262,SP 4,2015
11,12,12,0.002067209862723275,SP 4,2015
12,13,13,6.337266399488874e-4,SP 4,2015
13,14,14,1.0908365751812806e-4,SP 4,2015
14,15,15,NA,SP 4,2015
15,16,16,NA,SP 4,2015
16,17,17,NA,SP 4,2015
17,18,18,NA,SP 4,2015
18,19,19,NA,SP 4,2015
19,20,20,NA,SP 4,2015
20,21,21,NA,SP 4,2015
21,22,22,NA,SP 4,2015
22,23,23,NA,SP 4,2015
23,24,24,NA,SP 4,2015
24,25,25,NA,SP 4,2015
25,26,26,NA,SP 4,2015
26,27,27,NA,SP 4,2015
27,28,28,NA,SP 4,2015
28,29,29,NA,SP 4,2015
29,30,30,NA,SP 4,2015
0,1,1,0.039423820295147134,SP 5,2015
1,2,2,0.09809412938680244,SP 5,2015
2,3,3,0.10536367379198493,SP 5,2015
3,4,4,0.10847566236908877,SP 5,2015
4,5,5,0.10867107940863006,SP 5,2015
5,6,6,0.11265640302712346,SP 5,2015
6,7,7,0.10824008851506105,SP 5,2015
7,8,8,0.09614095487969146,SP 5,2015
8,9,9,0.08103234706817891,SP 5,2015
9,10,10,0.05552998246336789,SP 5,2015
10,11,11,0.036794151212743806,SP 5,2015
11,12,12,0.022236556645238846,SP 5,2015
12,13,13,0.014352911024323529,SP 5,2015
13,14,14,0.009233475463022962,SP 5,2015
14,15,15,0.00258182516646867,SP 5,2015
15,16,16,7.894541701004755e-4,SP 5,2015
16,17,17,1.8972421091014317e-4,SP 5,2015
17,18,18,1.6146741836736922e-4,SP 5,2015
18,19,19,2.825679851279044e-5,SP 5,2015
19,20,20,4.036685235308612e-6,SP 5,2015
20,21,21,NA,SP 5,2015
21,22,22,NA,SP 5,2015
22,23,23,NA,SP 5,2015
23,24,24,NA,SP 5,2015
24,25,25,NA,SP 5,2015
25,26,26,NA,SP 5,2015
26,27,27,NA,SP 5,2015
27,28,28,NA,SP 5,2015
28,29,29,NA,SP 5,2015
29,30,30,NA,SP 5,2015
0,1,1,0.015993189527096496,SP 6,2015
1,2,2,0.07182629911847858,SP 6,2015
2,3,3,0.07255022780496238,SP 6,2015
3,4,4,0.07184019139575587,SP 6,2015
4,5,5,0.09456468491326851,SP 6,2015
5,6,6,0.1315371553667642,SP 6,2015
6,7,7,0.15337781732712205,SP 6,2015
7,8,8,0.14337818846738484,SP 6,2015
8,9,9,0.11536397648493545,SP 6,2015
9,10,10,0.07477486307316003,SP 6,2015
10,11,11,0.03356410091014277,SP 6,2015
11,12,12,0.013205935186179256,SP 6,2015
12,13,13,0.0055858684345008,SP 6,2015
13,14,14,0.0018781318605181768,SP 6,2015
14,15,15,5.407240237191986e-4,SP 6,2015
15,16,16,1.864610601139071e-5,SP 6,2015
16,17,17,NA,SP 6,2015
17,18,18,NA,SP 6,2015
18,19,19,NA,SP 6,2015
19,20,20,NA,SP 6,2015
20,21,21,NA,SP 6,2015
21,22,22,NA,SP 6,2015
22,23,23,NA,SP 6,2015
23,24,24,NA,SP 6,2015
24,25,25,NA,SP 6,2015
25,26,26,NA,SP 6,2015
26,27,27,NA,SP 6,2015
27,28,28,NA,SP 6,2015
28,29,29,NA,SP 6,2015
29,30,30,NA,SP 6,2015
0,1,1,0.11726400899030415,SP 7,2015
1,2,2,0.13164897027921027,SP 7,2015
2,3,3,0.13391011352436966,SP 7,2015
3,4,4,0.14454721042574492,SP 7,2015
4,5,5,0.13113454346595774,SP 7,2015
5,6,6,0.10700287181442472,SP 7,2015
6,7,7,0.07340559512779096,SP 7,2015
7,8,8,0.055088486645192156,SP 7,2015
8,9,9,0.038032802812410164,SP 7,2015
9,10,10,0.027110588527957856,SP 7,2015
10,11,11,0.019654197552678918,SP 7,2015
11,12,12,0.012280168538267085,SP 7,2015
12,13,13,0.007221924207560051,SP 7,2015
13,14,14,0.0016332347631194185,SP 7,2015
14,15,15,6.528332501192687e-5,SP 7,2015
15,16,16,NA,SP 7,2015
16,17,17,NA,SP 7,2015
17,18,18,NA,SP 7,2015
18,19,19,NA,SP 7,2015
19,20,20,NA,SP 7,2015
20,21,21,NA,SP 7,2015
21,22,22,NA,SP 7,2015
22,23,23,NA,SP 7,2015
23,24,24,NA,SP 7,2015
24,25,25,NA,SP 7,2015
25,26,26,NA,SP 7,2015
26,27,27,NA,SP 7,2015
27,28,28,NA,SP 7,2015
28,29,29,NA,SP 7,2015
29,30,30,NA,SP 7,2015
0,1,1,0.009808011648707983,SP 8,2015
1,2,2,0.05384016329272741,SP 8,2015
2,3,3,0.08570234428705031,SP 8,2015
3,4,4,0.10291980251648929,SP 8,2015
4,5,5,0.12148639812393563,SP 8,2015
5,6,6,0.12602874841538853,SP 8,2015
6,7,7,0.13384873529538843,SP 8,2015
7,8,8,0.12036298172285045,SP 8,2015
8,9,9,0.09806787567388804,SP 8,2015
9,10,10,0.07134489382605766,SP 8,2015
10,11,11,0.0417897606102398,SP 8,2015
11,12,12,0.02210547437657342,SP 8,2015
12,13,13,0.009436504309691913,SP 8,2015
13,14,14,0.002267595495421184,SP 8,2015
14,15,15,7.481467811755412e-4,SP 8,2015
15,16,16,2.4256362441439267e-4,SP 8,2015
16,17,17,NA,SP 8,2015
17,18,18,NA,SP 8,2015
18,19,19,NA,SP 8,2015
19,20,20,NA,SP 8,2015
20,21,21,NA,SP 8,2015
21,22,22,NA,SP 8,2015
22,23,23,NA,SP 8,2015
23,24,24,NA,SP 8,2015
24,25,25,NA,SP 8,2015
25,26,26,NA,SP 8,2015
26,27,27,NA,SP 8,2015
27,28,28,NA,SP 8,2015
28,29,29,NA,SP 8,2015
29,30,30,NA,SP 8,2015
0,1,1,0.017489434537132253,SP 9,2015
1,2,2,0.0709612377650446,SP 9,2015
2,3,3,0.07938487497838967,SP 9,2015
