bin_start,bin_break,bin_index,frequency,site,year
21,22.5,15,7.477112759513361e-4,HR11,2015
22.5,24,16,6.93000707597859e-4,HR11,2015
24,25.5,17,NA,HR11,2015
25.5,27,18,NA,HR11,2015
27,28.5,19,NA,HR11,2015
28.5,30,20,NA,HR11,2015
0,1.5,1,0.3694573886469712,HR12,2015
1.5,3,2,0.5446059458118269,HR12,2015
3,4.5,3,0.06245455447054007,HR12,2015
4.5,6,4,0.020889125810053224,HR12,2015
6,7.5,5,0.0025929852606086244,HR12,2015
7.5,9,6,NA,HR12,2015
9,10.5,7,NA,HR12,2015
10.5,12,8,NA,HR12,2015
12,13.5,9,NA,HR12,2015
13.5,15,10,NA,HR12,2015
15,16.5,11,NA,HR12,2015
16.5,18,12,NA,HR12,2015
18,19.5,13,NA,HR12,2015
19.5,21,14,NA,HR12,2015
21,22.5,15,NA,HR12,2015
22.5,24,16,NA,HR12,2015
24,25.5,17,NA,HR12,2015
25.5,27,18,NA,HR12,2015
27,28.5,19,NA,HR12,2015
28.5,30,20,NA,HR12,2015
0,1.5,1,0.12944154448345385,HR13,2015
1.5,3,2,0.2039562449308064,HR13,2015
3,4.5,3,0.16323329281270907,HR13,2015
4.5,6,4,0.1535463526778815,HR13,2015
6,7.5,5,0.14066296835634243,HR13,2015
7.5,9,6,0.10671591690993514,HR13,2015
9,10.5,7,0.05920493459853176,HR13,2015
10.5,12,8,0.022172079738235283,HR13,2015
12,13.5,9,0.012372431165531817,HR13,2015
13.5,15,10,0.006542538707380652,HR13,2015
15,16.5,11,0.0018700322202795932,HR13,2015
16.5,18,12,2.8166339891248305e-4,HR13,2015
18,19.5,13,NA,HR13,2015
19.5,21,14,NA,HR13,2015
21,22.5,15,NA,HR13,2015
22.5,24,16,NA,HR13,2015
24,25.5,17,NA,HR13,2015
25.5,27,18,NA,HR13,2015
27,28.5,19,NA,HR13,2015
28.5,30,20,NA,HR13,2015
0,1.5,1,0.14437963953620167,HR14,2015
1.5,3,2,0.17792054803350388,HR14,2015
