bin_index,count,bin_start,bin_end,year,frequency,site
2,226,2,4,2015,0.02876415934835179,SP13
3,659,4,6,2015,0.08387425225913199,SP13
4,1095,6,8,2015,0.13936617029400536,SP13
5,1145,8,10,2015,0.14572992236222476,SP13
6,1229,10,12,2015,0.1564210258368334,SP13
7,1255,12,14,2015,0.1597301769123075,SP13
8,1086,14,16,2015,0.13822069492172584,SP13
9,797,16,18,2015,0.10143820796741759,SP13
10,71,18,20,2015,0.00903652793687158,SP13
11,128,20,22,2015,0.01629120529464172,SP13
12,30,22,24,2015,0.0038182512409316535,SP13
1,2307,0,2,2015,0.2937356760886173,SP14
2,517,2,4,2015,0.06582633053221289,SP14
3,662,4,6,2015,0.08428826075884899,SP14
4,856,6,8,2015,0.10898905016552075,SP14
5,696,8,10,2015,0.08861726508785332,SP14
6,924,10,12,2015,0.11764705882352941,SP14
7,905,12,14,2015,0.1152279093455564,SP14
8,584,14,16,2015,0.07435701553348611,SP14
9,307,16,18,2015,0.03908836261777438,SP14
10,96,18,20,2015,0.012223071046600458,SP14
1,3603,0,2,2015,0.4587471352177235,SP15
2,924,2,4,2015,0.11764705882352941,SP15
3,412,4,6,2015,0.05245734657499363,SP15
4,698,6,8,2015,0.08887191240132417,SP15
5,908,8,10,2015,0.11560988031576266,SP15
6,440,10,12,2015,0.056022408963585436,SP15
7,446,12,14,2015,0.056786350903997966,SP15
8,410,14,16,2015,0.05220269926152279,SP15
9,13,16,18,2015,0.0016552075375604787,SP15
1,3585,0,2,2018,0.4568042813455658,HR 1
2,3367,2,4,2018,0.429026503567788,HR 1
3,486,4,6,2018,0.06192660550458716,HR 1
4,142,6,8,2018,0.018093781855249746,HR 1
5,53,8,10,2018,0.006753312945973497,HR 1
6,133,10,12,2018,0.016946992864424058,HR 1
7,30,12,14,2018,0.00382262996941896,HR 1
8,13,14,16,2018,0.001656472986748216,HR 1
NA,39,NA,NA,2018,0.004969418960244648,HR 1
1,2875,0,2,2018,0.366008911521324,HR 2
2,3046,2,4,2018,0.3877784850413749,HR 2
3,1290,4,6,2018,0.16422660725652452,HR 2
4,504,6,8,2018,0.06416295353278166,HR 2
5,135,8,10,2018,0.01718650541056652,HR 2
NA,5,NA,NA,2018,6.365372374283895e-4,HR 2
1,4632,0,2,2018,0.5896880967536601,HR 3
2,2418,2,4,2018,0.3078294080203692,HR 3
3,645,4,6,2018,0.08211330362826226,HR 3
4,107,6,8,2018,0.013621896880967536,HR 3
5,53,8,10,2018,0.00674729471674093,HR 3
1,6526,0,2,2018,0.8308084022915341,HR 4
2,1193,2,4,2018,0.15187778485041376,HR 4
3,96,4,6,2018,0.01222151495862508,HR 4
4,19,6,8,2018,0.0024188415022278805,HR 4
5,13,8,10,2018,0.001654996817313813,HR 4
NA,8,NA,NA,2018,0.0010184595798854233,HR 4
1,3362,0,2,2018,0.4279531568228106,HR 5
2,2949,2,4,2018,0.3753818737270876,HR 5
3,1366,4,6,2018,0.17387983706720977,HR 5
4,143,6,8,2018,0.01820264765784114,HR 5
5,35,8,10,2018,0.004455193482688391,HR 5
NA,1,NA,NA,2018,1.2729124236252545e-4,HR 5
1,3482,0,2,2018,0.44367991845056065,HR 6
2,3134,2,4,2018,0.3993374108053007,HR 6
3,1005,4,6,2018,0.12805810397553516,HR 6
4,215,6,8,2018,0.02739551478083588,HR 6
5,12,8,10,2018,0.0015290519877675841,HR 6
1,1398,0,2,2018,0.17790786459658947,HR 7
2,3127,2,4,2018,0.397938406719267,HR 7
3,1495,4,6,2018,0.19025197251208958,HR 7
4,1298,6,8,2018,0.16518198014762026,HR 7
5,485,8,10,2018,0.061720539577500635,HR 7
6,55,10,12,2018,0.0069992364469330616,HR 7
1,237,0,2,2018,0.030164184803360063,HR 8
2,1580,2,4,2018,0.20109456535573375,HR 8
3,2624,4,6,2018,0.3339697085401553,HR 8
4,1859,6,8,2018,0.2366043018963981,HR 8
5,1132,8,10,2018,0.14407534682448772,HR 8
6,331,10,12,2018,0.04212803869161257,HR 8
7,94,12,14,2018,0.011963853888252513,HR 8
1,318,0,2,2018,0.04048892284186402,HR 9
2,633,2,4,2018,0.08059587471352177,HR 9
3,1143,4,6,2018,0.1455309396485867,HR 9
4,2018,6,8,2018,0.25693913929208045,HR 9
5,2258,8,10,2018,0.2874968169085816,HR 9
6,1286,10,12,2018,0.16373822256175197,HR 9
7,198,12,14,2018,0.025210084033613446,HR 9
1,16,0,2,2018,0.002035882427789795,HR10
2,139,2,4,2018,0.017686728591423846,HR10
3,579,4,6,2018,0.07367349535564321,HR10
4,1923,6,8,2018,0.244687619289986,HR10
5,3029,8,10,2018,0.38541799211095557,HR10
6,1533,10,12,2018,0.19506298511260975,HR10
7,447,12,14,2018,0.0568774653263774,HR10
8,193,14,16,2018,0.024557831785214403,HR10
1,706,0,2,2018,0.08994776404637533,HR11
2,1082,2,4,2018,0.1378519556631418,HR11
3,1505,4,6,2018,0.19174417123200407,HR11
4,2020,6,8,2018,0.25735762517518157,HR11
5,1292,8,10,2018,0.1646069563001656,HR11
6,772,10,12,2018,0.0983564785322971,HR11
7,267,12,14,2018,0.03401707223850172,HR11
8,156,14,16,2018,0.019875143330360556,HR11
9,48,16,18,2018,0.006115428717034017,HR11
NA,1,NA,NA,2018,1.2740476493820868e-4,HR11
1,1355,0,2,2018,0.17254552400356551,HR12
2,5387,2,4,2018,0.685979880300522,HR12
3,738,4,6,2018,0.09397682414363938,HR12
4,368,6,8,2018,0.04686107220170636,HR12
5,5,8,10,2018,6.366993505666624e-4,HR12
1,508,0,2,2018,0.0647628760836308,HR13
2,887,2,4,2018,0.11308006119326874,HR13
3,948,4,6,2018,0.12085670576236614,HR13
4,1661,6,8,2018,0.21175420703722592,HR13
5,1842,8,10,2018,0.23482916879143295,HR13
6,1323,10,12,2018,0.16866394696583376,HR13
7,437,12,14,2018,0.0557113717491076,HR13
8,206,14,16,2018,0.026262111167771544,HR13
9,27,16,18,2018,0.0034421213666496683,HR13
10,5,18,20,2018,6.374298827129016e-4,HR13
1,3091,0,2,2018,0.39380812842400303,HR14
2,463,2,4,2018,0.058988406166390624,HR14
3,269,4,6,2018,0.034271881768378136,HR14
4,364,6,8,2018,0.046375334437507965,HR14
5,604,8,10,2018,0.07695247802267804,HR14
6,2405,10,12,2018,0.3064084596763919,HR14
7,653,12,14,2018,0.08319531150465027,HR14
1,2643,0,2,2018,0.3363023285405268,HR15
2,1335,2,4,2018,0.16986894006871103,HR15
3,739,4,6,2018,0.09403231963354117,HR15
4,1267,6,8,2018,0.1612164397506044,HR15
5,1480,8,10,2018,0.18831912457055605,HR15
6,393,10,12,2018,0.05000636213258684,HR15
7,2,12,14,2018,2.544853034737244e-4,HR15
1,552,0,2,2018,0.07028265851795264,SP 1
2,1654,2,4,2018,0.21059332824038707,SP 1
3,1759,4,6,2018,0.22396231219760632,SP 1
4,1640,6,8,2018,0.20881079704609115,SP 1
5,1319,8,10,2018,0.1679399032340209,SP 1
6,688,10,12,2018,0.08759867583396995,SP 1
7,242,12,14,2018,0.03081232492997199,SP 1
1,4027,0,2,2018,0.512667091024825,SP 2
2,1578,2,4,2018,0.20089115213239975,SP 2
3,834,4,6,2018,0.10617441120305537,SP 2
4,713,6,8,2018,0.09077021005728834,SP 2
5,561,8,10,2018,0.07141947803946531,SP 2
6,136,10,12,2018,0.017313812858052197,SP 2
NA,6,NA,NA,2018,7.638446849140675e-4,SP 2
2,6,2,4,2018,7.645259938837921e-4,SP 3
3,339,4,6,2018,0.04319571865443425,SP 3
4,1224,6,8,2018,0.1559633027522936,SP 3
5,1340,8,10,2018,0.1707441386340469,SP 3
6,2561,10,12,2018,0.32632517838939856,SP 3
7,1441,12,14,2018,0.1836136595310907,SP 3
8,778,14,16,2018,0.0991335372069317,SP 3
9,159,16,18,2018,0.020259938837920488,SP 3
1,1437,0,2,2018,0.1830340084065724,SP 4
2,1571,2,4,2018,0.20010189784740798,SP 4
3,1493,4,6,2018,0.19016685772513056,SP 4
4,1776,6,8,2018,0.22621322124570117,SP 4
5,1028,8,10,2018,0.13093873391924596,SP 4
6,381,10,12,2018,0.04852884982804738,SP 4
7,33,12,14,2018,0.004203286205578907,SP 4
10,3,18,20,2018,3.8211692777990065e-4,SP 4
NA,129,NA,NA,2018,0.016431027894535728,SP 4
1,290,0,2,2018,0.036914460285132386,SP 5
